zip code,Borinquen,Care4you,Communityrighful,EmpowerU,Newhopecorps,Pridelinesyouth,Projectaccess,Survivors Pathway,Total
33014,0,0,0,0,0,1,0,0,1
33015,0,0,0,0,0,1,0,0,1
33017,0,0,0,0,0,1,0,0,1
33030,0,0,0,0,1,0,0,0,1
33031,0,0,0,0,1,0,0,0,1
33032,0,0,0,0,1,0,0,0,1
33033,0,0,0,0,1,0,0,0,1
33034,0,0,0,0,1,0,0,0,1
33035,0,0,0,0,1,0,0,0,1
33039,0,0,0,0,1,0,0,0,1
33054,0,0,0,0,0,1,0,0,1
33055,0,0,0,0,0,1,0,0,1
33056,0,0,0,0,0,1,0,0,1
33114,0,0,0,0,0,1,0,0,1
33122,0,0,0,0,0,0,1,0,1
33124,0,0,0,0,0,1,0,0,1
33125,0,0,0,0,0,1,0,0,1
33126,0,0,0,0,0,0,1,0,1
33127,1,1,1,1,0,1,1,1,7
33128,1,0,0,0,0,0,0,0,1
33130,1,0,0,0,0,0,0,0,1
33131,0,0,0,0,0,0,0,1,1
33133,0,0,0,0,0,1,1,0,2
33134,0,0,0,0,0,1,1,0,2
33135,1,0,0,0,0,0,1,0,2
33136,0,0,0,0,0,1,0,1,2
33137,1,1,1,0,0,0,1,1,5
33138,1,1,1,0,0,1,1,1,6
33139,0,0,0,0,0,1,0,1,2
33140,0,0,0,0,0,1,0,1,2
33141,0,0,0,0,0,1,0,0,1
33142,1,1,1,1,0,1,0,0,5
33143,0,0,0,0,0,1,0,0,1
33144,1,0,0,0,0,1,1,0,3
33145,1,0,0,0,0,1,1,0,3
33146,0,0,0,0,0,1,1,0,2
33147,0,1,1,1,0,0,1,0,4
33150,1,1,1,1,0,1,1,0,6
33153,0,0,0,0,0,1,0,0,1
33154,0,0,0,0,0,1,0,0,1
33155,0,0,0,0,0,0,1,0,1
33156,0,0,0,0,1,1,0,0,2
33157,0,0,0,0,1,0,0,0,1
33158,0,0,0,0,1,1,0,0,2
33160,1,0,0,0,0,0,0,0,1
33161,1,1,0,0,0,1,1,0,4
33162,1,0,0,0,0,1,0,0,2
33167,1,1,0,0,0,1,1,0,4
33168,1,1,0,0,0,1,1,0,4
33169,1,0,0,0,0,1,0,0,2
33170,0,0,0,0,1,0,0,0,1
33172,1,0,0,0,0,0,0,0,1
33174,1,0,0,0,0,0,0,0,1
33176,0,0,0,0,1,0,0,0,1
33177,0,0,0,0,1,0,0,0,1
33179,0,0,0,0,0,1,0,0,1
33180,1,0,0,0,0,1,0,0,2
33181,1,0,0,0,0,1,0,0,2
33182,1,0,0,0,0,0,0,0,1
33186,0,0,0,0,1,0,0,0,1
33187,0,0,0,0,1,0,0,0,1
33189,0,0,0,0,1,0,0,0,1
33190,0,0,0,0,1,0,0,0,1
33194,1,0,0,0,0,0,0,0,1
33196,0,0,0,0,1,0,0,0,1
33234,0,0,0,0,0,1,0,0,1
33239,0,0,0,0,0,1,0,0,1
